"","date","datatype","station","value","fl_m","fl_q","fl_so","fl_t","units","value_F"
"1","2023-09-01T00:00:00","TMIN","GHCND:USW00093993",122,"","","W","2400","celcius_tenths",53.96
"2","2023-09-02T00:00:00","TMIN","GHCND:USW00093993",122,"","","W","2400","celcius_tenths",53.96
"3","2023-09-03T00:00:00","TMIN","GHCND:USW00093993",167,"","","W","2400","celcius_tenths",62.06
"4","2023-09-04T00:00:00","TMIN","GHCND:USW00093993",228,"","","W","2400","celcius_tenths",73.04
"5","2023-09-05T00:00:00","TMIN","GHCND:USW00093993",239,"","","W","2400","celcius_tenths",75.02
"6","2023-09-06T00:00:00","TMIN","GHCND:USW00093993",172,"","","W","2400","celcius_tenths",62.96
"7","2023-09-07T00:00:00","TMIN","GHCND:USW00093993",144,"","","W","2400","celcius_tenths",57.92
"8","2023-09-08T00:00:00","TMIN","GHCND:USW00093993",172,"","","W","2400","celcius_tenths",62.96
"9","2023-09-09T00:00:00","TMIN","GHCND:USW00093993",128,"","","W","2400","celcius_tenths",55.04
"10","2023-09-10T00:00:00","TMIN","GHCND:USW00093993",117,"","","W","2400","celcius_tenths",53.06
"11","2023-09-11T00:00:00","TMIN","GHCND:USW00093993",156,"","","W","2400","celcius_tenths",60.08
"12","2023-09-12T00:00:00","TMIN","GHCND:USW00093993",150,"","","W","2400","celcius_tenths",59
"13","2023-09-13T00:00:00","TMIN","GHCND:USW00093993",156,"","","W","2400","celcius_tenths",60.08
"14","2023-09-14T00:00:00","TMIN","GHCND:USW00093993",133,"","","W","2400","celcius_tenths",55.94
"15","2023-09-15T00:00:00","TMIN","GHCND:USW00093993",106,"","","W","2400","celcius_tenths",51.08
"16","2023-09-16T00:00:00","TMIN","GHCND:USW00093993",144,"","","W","2400","celcius_tenths",57.92
"17","2023-09-17T00:00:00","TMIN","GHCND:USW00093993",117,"","","W","2400","celcius_tenths",53.06
"18","2023-09-18T00:00:00","TMIN","GHCND:USW00093993",100,"","","W","2400","celcius_tenths",50
"19","2023-09-19T00:00:00","TMIN","GHCND:USW00093993",139,"","","W","2400","celcius_tenths",57.02
"20","2023-09-20T00:00:00","TMIN","GHCND:USW00093993",167,"","","W","2400","celcius_tenths",62.06
"21","2023-09-21T00:00:00","TMIN","GHCND:USW00093993",167,"","","W","2400","celcius_tenths",62.06
"22","2023-09-22T00:00:00","TMIN","GHCND:USW00093993",178,"","","W","2400","celcius_tenths",64.04
"23","2023-09-23T00:00:00","TMIN","GHCND:USW00093993",172,"","","W","2400","celcius_tenths",62.96
"24","2023-09-24T00:00:00","TMIN","GHCND:USW00093993",189,"","","W","2400","celcius_tenths",66.02
"25","2023-09-25T00:00:00","TMIN","GHCND:USW00093993",167,"","","W","2400","celcius_tenths",62.06
"26","2023-09-01T00:00:00","TMAX","GHCND:USW00093993",322,"","","W","2400","celcius_tenths",89.96
"27","2023-09-02T00:00:00","TMAX","GHCND:USW00093993",350,"","","W","2400","celcius_tenths",95
"28","2023-09-03T00:00:00","TMAX","GHCND:USW00093993",350,"","","W","2400","celcius_tenths",95
"29","2023-09-04T00:00:00","TMAX","GHCND:USW00093993",333,"","","W","2400","celcius_tenths",91.94
"30","2023-09-05T00:00:00","TMAX","GHCND:USW00093993",361,"","","W","2400","celcius_tenths",96.98
"31","2023-09-06T00:00:00","TMAX","GHCND:USW00093993",328,"","","W","2400","celcius_tenths",91.04
"32","2023-09-07T00:00:00","TMAX","GHCND:USW00093993",350,"","","W","2400","celcius_tenths",95
"33","2023-09-08T00:00:00","TMAX","GHCND:USW00093993",300,"","","W","2400","celcius_tenths",86
"34","2023-09-09T00:00:00","TMAX","GHCND:USW00093993",294,"","","W","2400","celcius_tenths",84.92
"35","2023-09-10T00:00:00","TMAX","GHCND:USW00093993",306,"","","W","2400","celcius_tenths",87.08
"36","2023-09-11T00:00:00","TMAX","GHCND:USW00093993",267,"","","W","2400","celcius_tenths",80.06
"37","2023-09-12T00:00:00","TMAX","GHCND:USW00093993",250,"","","W","2400","celcius_tenths",77
"38","2023-09-13T00:00:00","TMAX","GHCND:USW00093993",272,"","","W","2400","celcius_tenths",80.96
"39","2023-09-14T00:00:00","TMAX","GHCND:USW00093993",278,"","","W","2400","celcius_tenths",82.04
"40","2023-09-15T00:00:00","TMAX","GHCND:USW00093993",278,"","","W","2400","celcius_tenths",82.04
"41","2023-09-16T00:00:00","TMAX","GHCND:USW00093993",272,"","","W","2400","celcius_tenths",80.96
"42","2023-09-17T00:00:00","TMAX","GHCND:USW00093993",289,"","","W","2400","celcius_tenths",84.02
"43","2023-09-18T00:00:00","TMAX","GHCND:USW00093993",311,"","","W","2400","celcius_tenths",87.98
"44","2023-09-19T00:00:00","TMAX","GHCND:USW00093993",267,"","","W","2400","celcius_tenths",80.06
"45","2023-09-20T00:00:00","TMAX","GHCND:USW00093993",289,"","","W","2400","celcius_tenths",84.02
"46","2023-09-21T00:00:00","TMAX","GHCND:USW00093993",294,"","","W","2400","celcius_tenths",84.92
"47","2023-09-22T00:00:00","TMAX","GHCND:USW00093993",256,"","","W","2400","celcius_tenths",78.08
"48","2023-09-23T00:00:00","TMAX","GHCND:USW00093993",317,"","","W","2400","celcius_tenths",89.06
"49","2023-09-24T00:00:00","TMAX","GHCND:USW00093993",300,"","","W","2400","celcius_tenths",86
"50","2023-09-25T00:00:00","TMAX","GHCND:USW00093993",300,"","","W","2400","celcius_tenths",86
